
# Shape identification bit vs |ieta|,shape,E. Dummy LUT without shape veto
# Index is compressedShape+compressedE<<4+compressedIeta<<8. 
# Compression version is v4
#anything after # is ignored with the exception of the header
#the header is first valid line starting with #<header> versionStr(unused but may be in future) nrBitsAddress nrBitsData </header>
#<header> V5 12 1 </header>

0 1  # abs(compressedIeta)=0, compressedE=0, compressedShape=0
820 1  # abs(compressedIeta)=3, compressedE=3, compressedShape=4
821 1  # abs(compressedIeta)=3, compressedE=3, compressedShape=5
822 1  # abs(compressedIeta)=3, compressedE=3, compressedShape=6
823 1  # abs(compressedIeta)=3, compressedE=3, compressedShape=7
824 1  # abs(compressedIeta)=3, compressedE=3, compressedShape=8
825 1  # abs(compressedIeta)=3, compressedE=3, compressedShape=9
826 1  # abs(compressedIeta)=3, compressedE=3, compressedShape=10
827 1  # abs(compressedIeta)=3, compressedE=3, compressedShape=11
828 1  # abs(compressedIeta)=3, compressedE=3, compressedShape=12
829 1  # abs(compressedIeta)=3, compressedE=3, compressedShape=13
830 1  # abs(compressedIeta)=3, compressedE=3, compressedShape=14
831 1  # abs(compressedIeta)=3, compressedE=3, compressedShape=15
832 1  # abs(compressedIeta)=3, compressedE=4, compressedShape=0
833 1  # abs(compressedIeta)=3, compressedE=4, compressedShape=1
834 1  # abs(compressedIeta)=3, compressedE=4, compressedShape=2
835 1  # abs(compressedIeta)=3, compressedE=4, compressedShape=3
836 1  # abs(compressedIeta)=3, compressedE=4, compressedShape=4
837 1  # abs(compressedIeta)=3, compressedE=4, compressedShape=5
838 1  # abs(compressedIeta)=3, compressedE=4, compressedShape=6
839 1  # abs(compressedIeta)=3, compressedE=4, compressedShape=7
840 1  # abs(compressedIeta)=3, compressedE=4, compressedShape=8
841 1  # abs(compressedIeta)=3, compressedE=4, compressedShape=9
842 1  # abs(compressedIeta)=3, compressedE=4, compressedShape=10
843 1  # abs(compressedIeta)=3, compressedE=4, compressedShape=11
844 1  # abs(compressedIeta)=3, compressedE=4, compressedShape=12
845 1  # abs(compressedIeta)=3, compressedE=4, compressedShape=13
846 1  # abs(compressedIeta)=3, compressedE=4, compressedShape=14
847 1  # abs(compressedIeta)=3, compressedE=4, compressedShape=15
848 1  # abs(compressedIeta)=3, compressedE=5, compressedShape=0
849 1  # abs(compressedIeta)=3, compressedE=5, compressedShape=1
850 1  # abs(compressedIeta)=3, compressedE=5, compressedShape=2
851 1  # abs(compressedIeta)=3, compressedE=5, compressedShape=3
852 1  # abs(compressedIeta)=3, compressedE=5, compressedShape=4
853 1  # abs(compressedIeta)=3, compressedE=5, compressedShape=5
854 1  # abs(compressedIeta)=3, compressedE=5, compressedShape=6
855 1  # abs(compressedIeta)=3, compressedE=5, compressedShape=7
856 1  # abs(compressedIeta)=3, compressedE=5, compressedShape=8
857 1  # abs(compressedIeta)=3, compressedE=5, compressedShape=9
858 1  # abs(compressedIeta)=3, compressedE=5, compressedShape=10
859 1  # abs(compressedIeta)=3, compressedE=5, compressedShape=11
860 1  # abs(compressedIeta)=3, compressedE=5, compressedShape=12
861 1  # abs(compressedIeta)=3, compressedE=5, compressedShape=13
862 1  # abs(compressedIeta)=3, compressedE=5, compressedShape=14
863 1  # abs(compressedIeta)=3, compressedE=5, compressedShape=15
864 1  # abs(compressedIeta)=3, compressedE=6, compressedShape=0
865 1  # abs(compressedIeta)=3, compressedE=6, compressedShape=1
866 1  # abs(compressedIeta)=3, compressedE=6, compressedShape=2
867 1  # abs(compressedIeta)=3, compressedE=6, compressedShape=3
868 1  # abs(compressedIeta)=3, compressedE=6, compressedShape=4
869 1  # abs(compressedIeta)=3, compressedE=6, compressedShape=5
870 1  # abs(compressedIeta)=3, compressedE=6, compressedShape=6
871 1  # abs(compressedIeta)=3, compressedE=6, compressedShape=7
872 1  # abs(compressedIeta)=3, compressedE=6, compressedShape=8
873 1  # abs(compressedIeta)=3, compressedE=6, compressedShape=9
874 1  # abs(compressedIeta)=3, compressedE=6, compressedShape=10
875 1  # abs(compressedIeta)=3, compressedE=6, compressedShape=11
876 1  # abs(compressedIeta)=3, compressedE=6, compressedShape=12
877 1  # abs(compressedIeta)=3, compressedE=6, compressedShape=13
878 1  # abs(compressedIeta)=3, compressedE=6, compressedShape=14
879 1  # abs(compressedIeta)=3, compressedE=6, compressedShape=15
880 1  # abs(compressedIeta)=3, compressedE=7, compressedShape=0
881 1  # abs(compressedIeta)=3, compressedE=7, compressedShape=1
882 1  # abs(compressedIeta)=3, compressedE=7, compressedShape=2
883 1  # abs(compressedIeta)=3, compressedE=7, compressedShape=3
884 1  # abs(compressedIeta)=3, compressedE=7, compressedShape=4
885 1  # abs(compressedIeta)=3, compressedE=7, compressedShape=5
886 1  # abs(compressedIeta)=3, compressedE=7, compressedShape=6
887 1  # abs(compressedIeta)=3, compressedE=7, compressedShape=7
888 1  # abs(compressedIeta)=3, compressedE=7, compressedShape=8
889 1  # abs(compressedIeta)=3, compressedE=7, compressedShape=9
890 1  # abs(compressedIeta)=3, compressedE=7, compressedShape=10
891 1  # abs(compressedIeta)=3, compressedE=7, compressedShape=11
892 1  # abs(compressedIeta)=3, compressedE=7, compressedShape=12
893 1  # abs(compressedIeta)=3, compressedE=7, compressedShape=13
894 1  # abs(compressedIeta)=3, compressedE=7, compressedShape=14
895 1  # abs(compressedIeta)=3, compressedE=7, compressedShape=15
896 1  # abs(compressedIeta)=3, compressedE=8, compressedShape=0
897 1  # abs(compressedIeta)=3, compressedE=8, compressedShape=1
898 1  # abs(compressedIeta)=3, compressedE=8, compressedShape=2
899 1  # abs(compressedIeta)=3, compressedE=8, compressedShape=3
900 1  # abs(compressedIeta)=3, compressedE=8, compressedShape=4
901 1  # abs(compressedIeta)=3, compressedE=8, compressedShape=5
902 1  # abs(compressedIeta)=3, compressedE=8, compressedShape=6
903 1  # abs(compressedIeta)=3, compressedE=8, compressedShape=7
904 1  # abs(compressedIeta)=3, compressedE=8, compressedShape=8
905 1  # abs(compressedIeta)=3, compressedE=8, compressedShape=9
906 1  # abs(compressedIeta)=3, compressedE=8, compressedShape=10
907 1  # abs(compressedIeta)=3, compressedE=8, compressedShape=11
908 1  # abs(compressedIeta)=3, compressedE=8, compressedShape=12
909 1  # abs(compressedIeta)=3, compressedE=8, compressedShape=13
910 1  # abs(compressedIeta)=3, compressedE=8, compressedShape=14
911 1  # abs(compressedIeta)=3, compressedE=8, compressedShape=15
912 1  # abs(compressedIeta)=3, compressedE=9, compressedShape=0
913 1  # abs(compressedIeta)=3, compressedE=9, compressedShape=1
914 1  # abs(compressedIeta)=3, compressedE=9, compressedShape=2
915 1  # abs(compressedIeta)=3, compressedE=9, compressedShape=3
916 1  # abs(compressedIeta)=3, compressedE=9, compressedShape=4
917 1  # abs(compressedIeta)=3, compressedE=9, compressedShape=5
918 1  # abs(compressedIeta)=3, compressedE=9, compressedShape=6
919 1  # abs(compressedIeta)=3, compressedE=9, compressedShape=7
920 1  # abs(compressedIeta)=3, compressedE=9, compressedShape=8
921 1  # abs(compressedIeta)=3, compressedE=9, compressedShape=9
922 1  # abs(compressedIeta)=3, compressedE=9, compressedShape=10
923 1  # abs(compressedIeta)=3, compressedE=9, compressedShape=11
924 1  # abs(compressedIeta)=3, compressedE=9, compressedShape=12
925 1  # abs(compressedIeta)=3, compressedE=9, compressedShape=13
926 1  # abs(compressedIeta)=3, compressedE=9, compressedShape=14
927 1  # abs(compressedIeta)=3, compressedE=9, compressedShape=15
928 1  # abs(compressedIeta)=3, compressedE=10, compressedShape=0
929 1  # abs(compressedIeta)=3, compressedE=10, compressedShape=1
930 1  # abs(compressedIeta)=3, compressedE=10, compressedShape=2
931 1  # abs(compressedIeta)=3, compressedE=10, compressedShape=3
932 1  # abs(compressedIeta)=3, compressedE=10, compressedShape=4
933 1  # abs(compressedIeta)=3, compressedE=10, compressedShape=5
934 1  # abs(compressedIeta)=3, compressedE=10, compressedShape=6
935 1  # abs(compressedIeta)=3, compressedE=10, compressedShape=7
936 1  # abs(compressedIeta)=3, compressedE=10, compressedShape=8
937 1  # abs(compressedIeta)=3, compressedE=10, compressedShape=9
938 1  # abs(compressedIeta)=3, compressedE=10, compressedShape=10
939 1  # abs(compressedIeta)=3, compressedE=10, compressedShape=11
940 1  # abs(compressedIeta)=3, compressedE=10, compressedShape=12
941 1  # abs(compressedIeta)=3, compressedE=10, compressedShape=13
942 1  # abs(compressedIeta)=3, compressedE=10, compressedShape=14
943 1  # abs(compressedIeta)=3, compressedE=10, compressedShape=15
944 1  # abs(compressedIeta)=3, compressedE=11, compressedShape=0
945 1  # abs(compressedIeta)=3, compressedE=11, compressedShape=1
946 1  # abs(compressedIeta)=3, compressedE=11, compressedShape=2
947 1  # abs(compressedIeta)=3, compressedE=11, compressedShape=3
948 1  # abs(compressedIeta)=3, compressedE=11, compressedShape=4
949 1  # abs(compressedIeta)=3, compressedE=11, compressedShape=5
950 1  # abs(compressedIeta)=3, compressedE=11, compressedShape=6
951 1  # abs(compressedIeta)=3, compressedE=11, compressedShape=7
952 1  # abs(compressedIeta)=3, compressedE=11, compressedShape=8
953 1  # abs(compressedIeta)=3, compressedE=11, compressedShape=9
954 1  # abs(compressedIeta)=3, compressedE=11, compressedShape=10
955 1  # abs(compressedIeta)=3, compressedE=11, compressedShape=11
956 1  # abs(compressedIeta)=3, compressedE=11, compressedShape=12
957 1  # abs(compressedIeta)=3, compressedE=11, compressedShape=13
958 1  # abs(compressedIeta)=3, compressedE=11, compressedShape=14
959 1  # abs(compressedIeta)=3, compressedE=11, compressedShape=15
960 1  # abs(compressedIeta)=3, compressedE=12, compressedShape=0
961 1  # abs(compressedIeta)=3, compressedE=12, compressedShape=1
962 1  # abs(compressedIeta)=3, compressedE=12, compressedShape=2
963 1  # abs(compressedIeta)=3, compressedE=12, compressedShape=3
964 1  # abs(compressedIeta)=3, compressedE=12, compressedShape=4
965 1  # abs(compressedIeta)=3, compressedE=12, compressedShape=5
966 1  # abs(compressedIeta)=3, compressedE=12, compressedShape=6
967 1  # abs(compressedIeta)=3, compressedE=12, compressedShape=7
968 1  # abs(compressedIeta)=3, compressedE=12, compressedShape=8
969 1  # abs(compressedIeta)=3, compressedE=12, compressedShape=9
970 1  # abs(compressedIeta)=3, compressedE=12, compressedShape=10
971 1  # abs(compressedIeta)=3, compressedE=12, compressedShape=11
972 1  # abs(compressedIeta)=3, compressedE=12, compressedShape=12
973 1  # abs(compressedIeta)=3, compressedE=12, compressedShape=13
974 1  # abs(compressedIeta)=3, compressedE=12, compressedShape=14
975 1  # abs(compressedIeta)=3, compressedE=12, compressedShape=15
976 1  # abs(compressedIeta)=3, compressedE=13, compressedShape=0
977 1  # abs(compressedIeta)=3, compressedE=13, compressedShape=1
978 1  # abs(compressedIeta)=3, compressedE=13, compressedShape=2
979 1  # abs(compressedIeta)=3, compressedE=13, compressedShape=3
980 1  # abs(compressedIeta)=3, compressedE=13, compressedShape=4
981 1  # abs(compressedIeta)=3, compressedE=13, compressedShape=5
982 1  # abs(compressedIeta)=3, compressedE=13, compressedShape=6
983 1  # abs(compressedIeta)=3, compressedE=13, compressedShape=7
984 1  # abs(compressedIeta)=3, compressedE=13, compressedShape=8
985 1  # abs(compressedIeta)=3, compressedE=13, compressedShape=9
986 1  # abs(compressedIeta)=3, compressedE=13, compressedShape=10
987 1  # abs(compressedIeta)=3, compressedE=13, compressedShape=11
988 1  # abs(compressedIeta)=3, compressedE=13, compressedShape=12
989 1  # abs(compressedIeta)=3, compressedE=13, compressedShape=13
990 1  # abs(compressedIeta)=3, compressedE=13, compressedShape=14
991 1  # abs(compressedIeta)=3, compressedE=13, compressedShape=15
992 1  # abs(compressedIeta)=3, compressedE=14, compressedShape=0
993 1  # abs(compressedIeta)=3, compressedE=14, compressedShape=1
994 1  # abs(compressedIeta)=3, compressedE=14, compressedShape=2
995 1  # abs(compressedIeta)=3, compressedE=14, compressedShape=3
996 1  # abs(compressedIeta)=3, compressedE=14, compressedShape=4
997 1  # abs(compressedIeta)=3, compressedE=14, compressedShape=5
998 1  # abs(compressedIeta)=3, compressedE=14, compressedShape=6
999 1  # abs(compressedIeta)=3, compressedE=14, compressedShape=7
1000 1  # abs(compressedIeta)=3, compressedE=14, compressedShape=8
1001 1  # abs(compressedIeta)=3, compressedE=14, compressedShape=9
1002 1  # abs(compressedIeta)=3, compressedE=14, compressedShape=10
1003 1  # abs(compressedIeta)=3, compressedE=14, compressedShape=11
1004 1  # abs(compressedIeta)=3, compressedE=14, compressedShape=12
1005 1  # abs(compressedIeta)=3, compressedE=14, compressedShape=13
1006 1  # abs(compressedIeta)=3, compressedE=14, compressedShape=14
1007 1  # abs(compressedIeta)=3, compressedE=14, compressedShape=15
1008 1  # abs(compressedIeta)=3, compressedE=15, compressedShape=0
1009 1  # abs(compressedIeta)=3, compressedE=15, compressedShape=1
1010 1  # abs(compressedIeta)=3, compressedE=15, compressedShape=2
1011 1  # abs(compressedIeta)=3, compressedE=15, compressedShape=3
1012 1  # abs(compressedIeta)=3, compressedE=15, compressedShape=4
1013 1  # abs(compressedIeta)=3, compressedE=15, compressedShape=5
1014 1  # abs(compressedIeta)=3, compressedE=15, compressedShape=6
1015 1  # abs(compressedIeta)=3, compressedE=15, compressedShape=7
1016 1  # abs(compressedIeta)=3, compressedE=15, compressedShape=8
1017 1  # abs(compressedIeta)=3, compressedE=15, compressedShape=9
1018 1  # abs(compressedIeta)=3, compressedE=15, compressedShape=10
1019 1  # abs(compressedIeta)=3, compressedE=15, compressedShape=11
1020 1  # abs(compressedIeta)=3, compressedE=15, compressedShape=12
1021 1  # abs(compressedIeta)=3, compressedE=15, compressedShape=13
1022 1  # abs(compressedIeta)=3, compressedE=15, compressedShape=14
1023 1  # abs(compressedIeta)=3, compressedE=15, compressedShape=15
1024 1  # abs(compressedIeta)=4, compressedE=0, compressedShape=0
1025 1  # abs(compressedIeta)=4, compressedE=0, compressedShape=1
1026 1  # abs(compressedIeta)=4, compressedE=0, compressedShape=2
1027 1  # abs(compressedIeta)=4, compressedE=0, compressedShape=3
1028 1  # abs(compressedIeta)=4, compressedE=0, compressedShape=4
1029 1  # abs(compressedIeta)=4, compressedE=0, compressedShape=5
1030 1  # abs(compressedIeta)=4, compressedE=0, compressedShape=6
1031 1  # abs(compressedIeta)=4, compressedE=0, compressedShape=7
1032 1  # abs(compressedIeta)=4, compressedE=0, compressedShape=8
1033 1  # abs(compressedIeta)=4, compressedE=0, compressedShape=9
1034 1  # abs(compressedIeta)=4, compressedE=0, compressedShape=10
1035 1  # abs(compressedIeta)=4, compressedE=0, compressedShape=11
1036 1  # abs(compressedIeta)=4, compressedE=0, compressedShape=12
1037 1  # abs(compressedIeta)=4, compressedE=0, compressedShape=13
1038 1  # abs(compressedIeta)=4, compressedE=0, compressedShape=14
1039 1  # abs(compressedIeta)=4, compressedE=0, compressedShape=15
1040 1  # abs(compressedIeta)=4, compressedE=1, compressedShape=0
1041 1  # abs(compressedIeta)=4, compressedE=1, compressedShape=1
1042 1  # abs(compressedIeta)=4, compressedE=1, compressedShape=2
1043 1  # abs(compressedIeta)=4, compressedE=1, compressedShape=3
1044 1  # abs(compressedIeta)=4, compressedE=1, compressedShape=4
1045 1  # abs(compressedIeta)=4, compressedE=1, compressedShape=5
1046 1  # abs(compressedIeta)=4, compressedE=1, compressedShape=6
1047 1  # abs(compressedIeta)=4, compressedE=1, compressedShape=7
1048 1  # abs(compressedIeta)=4, compressedE=1, compressedShape=8
1049 1  # abs(compressedIeta)=4, compressedE=1, compressedShape=9
1050 1  # abs(compressedIeta)=4, compressedE=1, compressedShape=10
1051 1  # abs(compressedIeta)=4, compressedE=1, compressedShape=11
1052 1  # abs(compressedIeta)=4, compressedE=1, compressedShape=12
1053 1  # abs(compressedIeta)=4, compressedE=1, compressedShape=13
1054 1  # abs(compressedIeta)=4, compressedE=1, compressedShape=14
1055 1  # abs(compressedIeta)=4, compressedE=1, compressedShape=15
1056 1  # abs(compressedIeta)=4, compressedE=2, compressedShape=0
1057 1  # abs(compressedIeta)=4, compressedE=2, compressedShape=1
1058 1  # abs(compressedIeta)=4, compressedE=2, compressedShape=2
1059 1  # abs(compressedIeta)=4, compressedE=2, compressedShape=3
1060 1  # abs(compressedIeta)=4, compressedE=2, compressedShape=4
1061 1  # abs(compressedIeta)=4, compressedE=2, compressedShape=5
1062 1  # abs(compressedIeta)=4, compressedE=2, compressedShape=6
1063 1  # abs(compressedIeta)=4, compressedE=2, compressedShape=7
1064 1  # abs(compressedIeta)=4, compressedE=2, compressedShape=8
1065 1  # abs(compressedIeta)=4, compressedE=2, compressedShape=9
1066 1  # abs(compressedIeta)=4, compressedE=2, compressedShape=10
1067 1  # abs(compressedIeta)=4, compressedE=2, compressedShape=11
1068 1  # abs(compressedIeta)=4, compressedE=2, compressedShape=12
1069 1  # abs(compressedIeta)=4, compressedE=2, compressedShape=13
1070 1  # abs(compressedIeta)=4, compressedE=2, compressedShape=14
1071 1  # abs(compressedIeta)=4, compressedE=2, compressedShape=15
1072 1  # abs(compressedIeta)=4, compressedE=3, compressedShape=0
1073 1  # abs(compressedIeta)=4, compressedE=3, compressedShape=1
1074 1  # abs(compressedIeta)=4, compressedE=3, compressedShape=2
1075 1  # abs(compressedIeta)=4, compressedE=3, compressedShape=3
1076 1  # abs(compressedIeta)=4, compressedE=3, compressedShape=4
1077 1  # abs(compressedIeta)=4, compressedE=3, compressedShape=5
1078 1  # abs(compressedIeta)=4, compressedE=3, compressedShape=6
1079 1  # abs(compressedIeta)=4, compressedE=3, compressedShape=7
1080 1  # abs(compressedIeta)=4, compressedE=3, compressedShape=8
1081 1  # abs(compressedIeta)=4, compressedE=3, compressedShape=9
1082 1  # abs(compressedIeta)=4, compressedE=3, compressedShape=10
1083 1  # abs(compressedIeta)=4, compressedE=3, compressedShape=11
1084 1  # abs(compressedIeta)=4, compressedE=3, compressedShape=12
1085 1  # abs(compressedIeta)=4, compressedE=3, compressedShape=13
1086 1  # abs(compressedIeta)=4, compressedE=3, compressedShape=14
1087 1  # abs(compressedIeta)=4, compressedE=3, compressedShape=15
1088 1  # abs(compressedIeta)=4, compressedE=4, compressedShape=0
1089 1  # abs(compressedIeta)=4, compressedE=4, compressedShape=1
1090 1  # abs(compressedIeta)=4, compressedE=4, compressedShape=2
1091 1  # abs(compressedIeta)=4, compressedE=4, compressedShape=3
1092 1  # abs(compressedIeta)=4, compressedE=4, compressedShape=4
1093 1  # abs(compressedIeta)=4, compressedE=4, compressedShape=5
1094 1  # abs(compressedIeta)=4, compressedE=4, compressedShape=6
1095 1  # abs(compressedIeta)=4, compressedE=4, compressedShape=7
1096 1  # abs(compressedIeta)=4, compressedE=4, compressedShape=8
1097 1  # abs(compressedIeta)=4, compressedE=4, compressedShape=9
1098 1  # abs(compressedIeta)=4, compressedE=4, compressedShape=10
1099 1  # abs(compressedIeta)=4, compressedE=4, compressedShape=11
1100 1  # abs(compressedIeta)=4, compressedE=4, compressedShape=12
1101 1  # abs(compressedIeta)=4, compressedE=4, compressedShape=13
1102 1  # abs(compressedIeta)=4, compressedE=4, compressedShape=14
1103 1  # abs(compressedIeta)=4, compressedE=4, compressedShape=15
1104 1  # abs(compressedIeta)=4, compressedE=5, compressedShape=0
1105 1  # abs(compressedIeta)=4, compressedE=5, compressedShape=1
1106 1  # abs(compressedIeta)=4, compressedE=5, compressedShape=2
1107 1  # abs(compressedIeta)=4, compressedE=5, compressedShape=3
1108 1  # abs(compressedIeta)=4, compressedE=5, compressedShape=4
1109 1  # abs(compressedIeta)=4, compressedE=5, compressedShape=5
1110 1  # abs(compressedIeta)=4, compressedE=5, compressedShape=6
1111 1  # abs(compressedIeta)=4, compressedE=5, compressedShape=7
1112 1  # abs(compressedIeta)=4, compressedE=5, compressedShape=8
1113 1  # abs(compressedIeta)=4, compressedE=5, compressedShape=9
1114 1  # abs(compressedIeta)=4, compressedE=5, compressedShape=10
1115 1  # abs(compressedIeta)=4, compressedE=5, compressedShape=11
1116 1  # abs(compressedIeta)=4, compressedE=5, compressedShape=12
1117 1  # abs(compressedIeta)=4, compressedE=5, compressedShape=13
1118 1  # abs(compressedIeta)=4, compressedE=5, compressedShape=14
1119 1  # abs(compressedIeta)=4, compressedE=5, compressedShape=15
1120 1  # abs(compressedIeta)=4, compressedE=6, compressedShape=0
1121 1  # abs(compressedIeta)=4, compressedE=6, compressedShape=1
1122 1  # abs(compressedIeta)=4, compressedE=6, compressedShape=2
1123 1  # abs(compressedIeta)=4, compressedE=6, compressedShape=3
1124 1  # abs(compressedIeta)=4, compressedE=6, compressedShape=4
1125 1  # abs(compressedIeta)=4, compressedE=6, compressedShape=5
1126 1  # abs(compressedIeta)=4, compressedE=6, compressedShape=6
1127 1  # abs(compressedIeta)=4, compressedE=6, compressedShape=7
1128 1  # abs(compressedIeta)=4, compressedE=6, compressedShape=8
1129 1  # abs(compressedIeta)=4, compressedE=6, compressedShape=9
1130 1  # abs(compressedIeta)=4, compressedE=6, compressedShape=10
1131 1  # abs(compressedIeta)=4, compressedE=6, compressedShape=11
1132 1  # abs(compressedIeta)=4, compressedE=6, compressedShape=12
1133 1  # abs(compressedIeta)=4, compressedE=6, compressedShape=13
1134 1  # abs(compressedIeta)=4, compressedE=6, compressedShape=14
1135 1  # abs(compressedIeta)=4, compressedE=6, compressedShape=15
1136 1  # abs(compressedIeta)=4, compressedE=7, compressedShape=0
1137 1  # abs(compressedIeta)=4, compressedE=7, compressedShape=1
1138 1  # abs(compressedIeta)=4, compressedE=7, compressedShape=2
1139 1  # abs(compressedIeta)=4, compressedE=7, compressedShape=3
1140 1  # abs(compressedIeta)=4, compressedE=7, compressedShape=4
1141 1  # abs(compressedIeta)=4, compressedE=7, compressedShape=5
1142 1  # abs(compressedIeta)=4, compressedE=7, compressedShape=6
1143 1  # abs(compressedIeta)=4, compressedE=7, compressedShape=7
1144 1  # abs(compressedIeta)=4, compressedE=7, compressedShape=8
1145 1  # abs(compressedIeta)=4, compressedE=7, compressedShape=9
1146 1  # abs(compressedIeta)=4, compressedE=7, compressedShape=10
1147 1  # abs(compressedIeta)=4, compressedE=7, compressedShape=11
1148 1  # abs(compressedIeta)=4, compressedE=7, compressedShape=12
1149 1  # abs(compressedIeta)=4, compressedE=7, compressedShape=13
1150 1  # abs(compressedIeta)=4, compressedE=7, compressedShape=14
1151 1  # abs(compressedIeta)=4, compressedE=7, compressedShape=15
1152 1  # abs(compressedIeta)=4, compressedE=8, compressedShape=0
1153 1  # abs(compressedIeta)=4, compressedE=8, compressedShape=1
1154 1  # abs(compressedIeta)=4, compressedE=8, compressedShape=2
1155 1  # abs(compressedIeta)=4, compressedE=8, compressedShape=3
1156 1  # abs(compressedIeta)=4, compressedE=8, compressedShape=4
1157 1  # abs(compressedIeta)=4, compressedE=8, compressedShape=5
1158 1  # abs(compressedIeta)=4, compressedE=8, compressedShape=6
1159 1  # abs(compressedIeta)=4, compressedE=8, compressedShape=7
1160 1  # abs(compressedIeta)=4, compressedE=8, compressedShape=8
1161 1  # abs(compressedIeta)=4, compressedE=8, compressedShape=9
1162 1  # abs(compressedIeta)=4, compressedE=8, compressedShape=10
1163 1  # abs(compressedIeta)=4, compressedE=8, compressedShape=11
1164 1  # abs(compressedIeta)=4, compressedE=8, compressedShape=12
1165 1  # abs(compressedIeta)=4, compressedE=8, compressedShape=13
1166 1  # abs(compressedIeta)=4, compressedE=8, compressedShape=14
1167 1  # abs(compressedIeta)=4, compressedE=8, compressedShape=15
1168 1  # abs(compressedIeta)=4, compressedE=9, compressedShape=0
1169 1  # abs(compressedIeta)=4, compressedE=9, compressedShape=1
1170 1  # abs(compressedIeta)=4, compressedE=9, compressedShape=2
1171 1  # abs(compressedIeta)=4, compressedE=9, compressedShape=3
1172 1  # abs(compressedIeta)=4, compressedE=9, compressedShape=4
1173 1  # abs(compressedIeta)=4, compressedE=9, compressedShape=5
1174 1  # abs(compressedIeta)=4, compressedE=9, compressedShape=6
1175 1  # abs(compressedIeta)=4, compressedE=9, compressedShape=7
1176 1  # abs(compressedIeta)=4, compressedE=9, compressedShape=8
1177 1  # abs(compressedIeta)=4, compressedE=9, compressedShape=9
1178 1  # abs(compressedIeta)=4, compressedE=9, compressedShape=10
1179 1  # abs(compressedIeta)=4, compressedE=9, compressedShape=11
1180 1  # abs(compressedIeta)=4, compressedE=9, compressedShape=12
1181 1  # abs(compressedIeta)=4, compressedE=9, compressedShape=13
1182 1  # abs(compressedIeta)=4, compressedE=9, compressedShape=14
1183 1  # abs(compressedIeta)=4, compressedE=9, compressedShape=15
1184 1  # abs(compressedIeta)=4, compressedE=10, compressedShape=0
1185 1  # abs(compressedIeta)=4, compressedE=10, compressedShape=1
1186 1  # abs(compressedIeta)=4, compressedE=10, compressedShape=2
1187 1  # abs(compressedIeta)=4, compressedE=10, compressedShape=3
1188 1  # abs(compressedIeta)=4, compressedE=10, compressedShape=4
1189 1  # abs(compressedIeta)=4, compressedE=10, compressedShape=5
1190 1  # abs(compressedIeta)=4, compressedE=10, compressedShape=6
1191 1  # abs(compressedIeta)=4, compressedE=10, compressedShape=7
1192 1  # abs(compressedIeta)=4, compressedE=10, compressedShape=8
1193 1  # abs(compressedIeta)=4, compressedE=10, compressedShape=9
1194 1  # abs(compressedIeta)=4, compressedE=10, compressedShape=10
1195 1  # abs(compressedIeta)=4, compressedE=10, compressedShape=11
1196 1  # abs(compressedIeta)=4, compressedE=10, compressedShape=12
1197 1  # abs(compressedIeta)=4, compressedE=10, compressedShape=13
1198 1  # abs(compressedIeta)=4, compressedE=10, compressedShape=14
1199 1  # abs(compressedIeta)=4, compressedE=10, compressedShape=15
1200 1  # abs(compressedIeta)=4, compressedE=11, compressedShape=0
1201 1  # abs(compressedIeta)=4, compressedE=11, compressedShape=1
1202 1  # abs(compressedIeta)=4, compressedE=11, compressedShape=2
1203 1  # abs(compressedIeta)=4, compressedE=11, compressedShape=3
1204 1  # abs(compressedIeta)=4, compressedE=11, compressedShape=4
1205 1  # abs(compressedIeta)=4, compressedE=11, compressedShape=5
1206 1  # abs(compressedIeta)=4, compressedE=11, compressedShape=6
1207 1  # abs(compressedIeta)=4, compressedE=11, compressedShape=7
1208 1  # abs(compressedIeta)=4, compressedE=11, compressedShape=8
1209 1  # abs(compressedIeta)=4, compressedE=11, compressedShape=9
1210 1  # abs(compressedIeta)=4, compressedE=11, compressedShape=10
1211 1  # abs(compressedIeta)=4, compressedE=11, compressedShape=11
1212 1  # abs(compressedIeta)=4, compressedE=11, compressedShape=12
1213 1  # abs(compressedIeta)=4, compressedE=11, compressedShape=13
1214 1  # abs(compressedIeta)=4, compressedE=11, compressedShape=14
1215 1  # abs(compressedIeta)=4, compressedE=11, compressedShape=15
1216 1  # abs(compressedIeta)=4, compressedE=12, compressedShape=0
1217 1  # abs(compressedIeta)=4, compressedE=12, compressedShape=1
1218 1  # abs(compressedIeta)=4, compressedE=12, compressedShape=2
1219 1  # abs(compressedIeta)=4, compressedE=12, compressedShape=3
1220 1  # abs(compressedIeta)=4, compressedE=12, compressedShape=4
1221 1  # abs(compressedIeta)=4, compressedE=12, compressedShape=5
1222 1  # abs(compressedIeta)=4, compressedE=12, compressedShape=6
1223 1  # abs(compressedIeta)=4, compressedE=12, compressedShape=7
1224 1  # abs(compressedIeta)=4, compressedE=12, compressedShape=8
1225 1  # abs(compressedIeta)=4, compressedE=12, compressedShape=9
1226 1  # abs(compressedIeta)=4, compressedE=12, compressedShape=10
1227 1  # abs(compressedIeta)=4, compressedE=12, compressedShape=11
1228 1  # abs(compressedIeta)=4, compressedE=12, compressedShape=12
1229 1  # abs(compressedIeta)=4, compressedE=12, compressedShape=13
1230 1  # abs(compressedIeta)=4, compressedE=12, compressedShape=14
