# e/g max H/E vs |ieta| and hwPt
# Index is (|ieta|-1)*256+hwPt. 
# Cuts corresponding to 99.5% efficiency.
#anything after # is ignored with the exception of the header
#the header is first valid line starting with #<header> versionStr(unused but may be in future) nrBitsAddress nrBitsData </header>
#<header> V1 13 9 </header>

0 66 # ieta=1, ET=0, H/E<=0.12890625
1190 44 # ieta=5, ET=166, H/E<=0.0859375
1191 44 # ieta=5, ET=167, H/E<=0.0859375
1192 44 # ieta=5, ET=168, H/E<=0.0859375
1193 44 # ieta=5, ET=169, H/E<=0.0859375
1194 511 # ieta=5, ET=170, H/E<=0.998046875
1195 511 # ieta=5, ET=171, H/E<=0.998046875
1196 511 # ieta=5, ET=172, H/E<=0.998046875
1197 511 # ieta=5, ET=173, H/E<=0.998046875
1198 511 # ieta=5, ET=174, H/E<=0.998046875
1199 511 # ieta=5, ET=175, H/E<=0.998046875
1200 511 # ieta=5, ET=176, H/E<=0.998046875
1201 511 # ieta=5, ET=177, H/E<=0.998046875
1202 511 # ieta=5, ET=178, H/E<=0.998046875
1203 511 # ieta=5, ET=179, H/E<=0.998046875
1204 511 # ieta=5, ET=180, H/E<=0.998046875
1205 511 # ieta=5, ET=181, H/E<=0.998046875
1206 511 # ieta=5, ET=182, H/E<=0.998046875
1207 511 # ieta=5, ET=183, H/E<=0.998046875
1208 511 # ieta=5, ET=184, H/E<=0.998046875
1209 511 # ieta=5, ET=185, H/E<=0.998046875
1210 511 # ieta=5, ET=186, H/E<=0.998046875
1211 511 # ieta=5, ET=187, H/E<=0.998046875
1212 511 # ieta=5, ET=188, H/E<=0.998046875
1213 511 # ieta=5, ET=189, H/E<=0.998046875
1214 511 # ieta=5, ET=190, H/E<=0.998046875
1215 511 # ieta=5, ET=191, H/E<=0.998046875
1216 511 # ieta=5, ET=192, H/E<=0.998046875
1217 511 # ieta=5, ET=193, H/E<=0.998046875
1218 511 # ieta=5, ET=194, H/E<=0.998046875
1219 511 # ieta=5, ET=195, H/E<=0.998046875
1220 511 # ieta=5, ET=196, H/E<=0.998046875
1221 511 # ieta=5, ET=197, H/E<=0.998046875
1222 511 # ieta=5, ET=198, H/E<=0.998046875
1223 511 # ieta=5, ET=199, H/E<=0.998046875
1224 511 # ieta=5, ET=200, H/E<=0.998046875
1225 511 # ieta=5, ET=201, H/E<=0.998046875
1226 511 # ieta=5, ET=202, H/E<=0.998046875
1227 511 # ieta=5, ET=203, H/E<=0.998046875
1228 511 # ieta=5, ET=204, H/E<=0.998046875
1229 511 # ieta=5, ET=205, H/E<=0.998046875
1230 511 # ieta=5, ET=206, H/E<=0.998046875
1231 511 # ieta=5, ET=207, H/E<=0.998046875
1232 511 # ieta=5, ET=208, H/E<=0.998046875
1233 511 # ieta=5, ET=209, H/E<=0.998046875
1234 511 # ieta=5, ET=210, H/E<=0.998046875
1235 511 # ieta=5, ET=211, H/E<=0.998046875
1236 511 # ieta=5, ET=212, H/E<=0.998046875
1237 511 # ieta=5, ET=213, H/E<=0.998046875
1238 511 # ieta=5, ET=214, H/E<=0.998046875
1239 511 # ieta=5, ET=215, H/E<=0.998046875
1240 511 # ieta=5, ET=216, H/E<=0.998046875
1241 511 # ieta=5, ET=217, H/E<=0.998046875
1242 511 # ieta=5, ET=218, H/E<=0.998046875
1243 511 # ieta=5, ET=219, H/E<=0.998046875
1244 511 # ieta=5, ET=220, H/E<=0.998046875
1245 511 # ieta=5, ET=221, H/E<=0.998046875
1246 511 # ieta=5, ET=222, H/E<=0.998046875
1247 511 # ieta=5, ET=223, H/E<=0.998046875
1248 511 # ieta=5, ET=224, H/E<=0.998046875
1249 511 # ieta=5, ET=225, H/E<=0.998046875
1250 511 # ieta=5, ET=226, H/E<=0.998046875
1251 511 # ieta=5, ET=227, H/E<=0.998046875
1252 511 # ieta=5, ET=228, H/E<=0.998046875
1253 511 # ieta=5, ET=229, H/E<=0.998046875
1254 511 # ieta=5, ET=230, H/E<=0.998046875
1255 511 # ieta=5, ET=231, H/E<=0.998046875
1256 511 # ieta=5, ET=232, H/E<=0.998046875
1257 511 # ieta=5, ET=233, H/E<=0.998046875
1258 511 # ieta=5, ET=234, H/E<=0.998046875
1259 511 # ieta=5, ET=235, H/E<=0.998046875
1260 511 # ieta=5, ET=236, H/E<=0.998046875
1261 511 # ieta=5, ET=237, H/E<=0.998046875
1262 511 # ieta=5, ET=238, H/E<=0.998046875
1263 511 # ieta=5, ET=239, H/E<=0.998046875
1264 511 # ieta=5, ET=240, H/E<=0.998046875
1265 511 # ieta=5, ET=241, H/E<=0.998046875
1266 511 # ieta=5, ET=242, H/E<=0.998046875
1267 511 # ieta=5, ET=243, H/E<=0.998046875
1268 511 # ieta=5, ET=244, H/E<=0.998046875
1269 511 # ieta=5, ET=245, H/E<=0.998046875
1270 511 # ieta=5, ET=246, H/E<=0.998046875
1271 511 # ieta=5, ET=247, H/E<=0.998046875
1272 511 # ieta=5, ET=248, H/E<=0.998046875
1273 511 # ieta=5, ET=249, H/E<=0.998046875
1274 511 # ieta=5, ET=250, H/E<=0.998046875
1275 511 # ieta=5, ET=251, H/E<=0.998046875
1276 511 # ieta=5, ET=252, H/E<=0.998046875
1277 511 # ieta=5, ET=253, H/E<=0.998046875
1278 511 # ieta=5, ET=254, H/E<=0.998046875
1279 511 # ieta=5, ET=255, H/E<=0.998046875
1280 57 # ieta=6, ET=0, H/E<=0.111328125
1281 57 # ieta=6, ET=1, H/E<=0.111328125
1282 57 # ieta=6, ET=2, H/E<=0.111328125
1283 57 # ieta=6, ET=3, H/E<=0.111328125
1284 57 # ieta=6, ET=4, H/E<=0.111328125
1285 57 # ieta=6, ET=5, H/E<=0.111328125
1286 57 # ieta=6, ET=6, H/E<=0.111328125
1287 57 # ieta=6, ET=7, H/E<=0.111328125
1288 57 # ieta=6, ET=8, H/E<=0.111328125
1289 57 # ieta=6, ET=9, H/E<=0.111328125
1290 57 # ieta=6, ET=10, H/E<=0.111328125
1291 57 # ieta=6, ET=11, H/E<=0.111328125
1292 57 # ieta=6, ET=12, H/E<=0.111328125
1293 57 # ieta=6, ET=13, H/E<=0.111328125
1294 57 # ieta=6, ET=14, H/E<=0.111328125
1295 57 # ieta=6, ET=15, H/E<=0.111328125
1296 57 # ieta=6, ET=16, H/E<=0.111328125
1297 57 # ieta=6, ET=17, H/E<=0.111328125
1298 57 # ieta=6, ET=18, H/E<=0.111328125
1299 57 # ieta=6, ET=19, H/E<=0.111328125
1300 57 # ieta=6, ET=20, H/E<=0.111328125
1301 57 # ieta=6, ET=21, H/E<=0.111328125
1302 57 # ieta=6, ET=22, H/E<=0.111328125
1303 57 # ieta=6, ET=23, H/E<=0.111328125
1304 57 # ieta=6, ET=24, H/E<=0.111328125
1305 57 # ieta=6, ET=25, H/E<=0.111328125
1306 57 # ieta=6, ET=26, H/E<=0.111328125
1307 57 # ieta=6, ET=27, H/E<=0.111328125
1308 57 # ieta=6, ET=28, H/E<=0.111328125
1309 57 # ieta=6, ET=29, H/E<=0.111328125
1310 57 # ieta=6, ET=30, H/E<=0.111328125
1311 57 # ieta=6, ET=31, H/E<=0.111328125
1312 57 # ieta=6, ET=32, H/E<=0.111328125
1313 57 # ieta=6, ET=33, H/E<=0.111328125
1314 57 # ieta=6, ET=34, H/E<=0.111328125
1315 57 # ieta=6, ET=35, H/E<=0.111328125
1316 57 # ieta=6, ET=36, H/E<=0.111328125
1317 57 # ieta=6, ET=37, H/E<=0.111328125
1318 57 # ieta=6, ET=38, H/E<=0.111328125
1319 46 # ieta=6, ET=39, H/E<=0.08984375
1320 46 # ieta=6, ET=40, H/E<=0.08984375
1321 46 # ieta=6, ET=41, H/E<=0.08984375
1322 46 # ieta=6, ET=42, H/E<=0.08984375
1323 46 # ieta=6, ET=43, H/E<=0.08984375
1324 46 # ieta=6, ET=44, H/E<=0.08984375
1325 46 # ieta=6, ET=45, H/E<=0.08984375
1326 46 # ieta=6, ET=46, H/E<=0.08984375
1327 46 # ieta=6, ET=47, H/E<=0.08984375
1328 46 # ieta=6, ET=48, H/E<=0.08984375
1329 46 # ieta=6, ET=49, H/E<=0.08984375
1330 46 # ieta=6, ET=50, H/E<=0.08984375
1331 46 # ieta=6, ET=51, H/E<=0.08984375
1332 46 # ieta=6, ET=52, H/E<=0.08984375
1333 46 # ieta=6, ET=53, H/E<=0.08984375
1334 46 # ieta=6, ET=54, H/E<=0.08984375
1335 46 # ieta=6, ET=55, H/E<=0.08984375
1336 46 # ieta=6, ET=56, H/E<=0.08984375
1337 46 # ieta=6, ET=57, H/E<=0.08984375
1338 46 # ieta=6, ET=58, H/E<=0.08984375
1339 40 # ieta=6, ET=59, H/E<=0.078125
1340 40 # ieta=6, ET=60, H/E<=0.078125
1341 40 # ieta=6, ET=61, H/E<=0.078125
1342 40 # ieta=6, ET=62, H/E<=0.078125
1343 40 # ieta=6, ET=63, H/E<=0.078125
1344 40 # ieta=6, ET=64, H/E<=0.078125
1345 40 # ieta=6, ET=65, H/E<=0.078125
1346 40 # ieta=6, ET=66, H/E<=0.078125
1347 40 # ieta=6, ET=67, H/E<=0.078125
1348 40 # ieta=6, ET=68, H/E<=0.078125
1349 30 # ieta=6, ET=69, H/E<=0.05859375
1350 30 # ieta=6, ET=70, H/E<=0.05859375
1351 30 # ieta=6, ET=71, H/E<=0.05859375
1352 30 # ieta=6, ET=72, H/E<=0.05859375
1353 30 # ieta=6, ET=73, H/E<=0.05859375
1354 30 # ieta=6, ET=74, H/E<=0.05859375
1355 30 # ieta=6, ET=75, H/E<=0.05859375
1356 30 # ieta=6, ET=76, H/E<=0.05859375
1357 30 # ieta=6, ET=77, H/E<=0.05859375
1358 30 # ieta=6, ET=78, H/E<=0.05859375
1359 27 # ieta=6, ET=79, H/E<=0.052734375
1360 27 # ieta=6, ET=80, H/E<=0.052734375
1361 27 # ieta=6, ET=81, H/E<=0.052734375
1362 27 # ieta=6, ET=82, H/E<=0.052734375
1363 27 # ieta=6, ET=83, H/E<=0.052734375
1364 27 # ieta=6, ET=84, H/E<=0.052734375
1365 27 # ieta=6, ET=85, H/E<=0.052734375
1366 27 # ieta=6, ET=86, H/E<=0.052734375
1367 27 # ieta=6, ET=87, H/E<=0.052734375
1368 27 # ieta=6, ET=88, H/E<=0.052734375
1369 35 # ieta=6, ET=89, H/E<=0.068359375
1370 35 # ieta=6, ET=90, H/E<=0.068359375
1371 35 # ieta=6, ET=91, H/E<=0.068359375
1372 35 # ieta=6, ET=92, H/E<=0.068359375
1373 35 # ieta=6, ET=93, H/E<=0.068359375
1374 35 # ieta=6, ET=94, H/E<=0.068359375
1375 35 # ieta=6, ET=95, H/E<=0.068359375
1376 35 # ieta=6, ET=96, H/E<=0.068359375
1377 35 # ieta=6, ET=97, H/E<=0.068359375
1378 35 # ieta=6, ET=98, H/E<=0.068359375
1379 30 # ieta=6, ET=99, H/E<=0.05859375
1380 30 # ieta=6, ET=100, H/E<=0.05859375
1381 30 # ieta=6, ET=101, H/E<=0.05859375
1382 30 # ieta=6, ET=102, H/E<=0.05859375
1383 30 # ieta=6, ET=103, H/E<=0.05859375
1384 30 # ieta=6, ET=104, H/E<=0.05859375
1385 30 # ieta=6, ET=105, H/E<=0.05859375
1386 30 # ieta=6, ET=106, H/E<=0.05859375
1387 30 # ieta=6, ET=107, H/E<=0.05859375
1388 30 # ieta=6, ET=108, H/E<=0.05859375
1389 46 # ieta=6, ET=109, H/E<=0.08984375
1390 46 # ieta=6, ET=110, H/E<=0.08984375
1391 46 # ieta=6, ET=111, H/E<=0.08984375
1392 46 # ieta=6, ET=112, H/E<=0.08984375
1393 46 # ieta=6, ET=113, H/E<=0.08984375
1394 46 # ieta=6, ET=114, H/E<=0.08984375
1395 46 # ieta=6, ET=115, H/E<=0.08984375
1396 46 # ieta=6, ET=116, H/E<=0.08984375
1397 46 # ieta=6, ET=117, H/E<=0.08984375
1398 46 # ieta=6, ET=118, H/E<=0.08984375
1399 35 # ieta=6, ET=119, H/E<=0.068359375
1400 35 # ieta=6, ET=120, H/E<=0.068359375
1401 35 # ieta=6, ET=121, H/E<=0.068359375
1402 35 # ieta=6, ET=122, H/E<=0.068359375
1403 35 # ieta=6, ET=123, H/E<=0.068359375
1404 35 # ieta=6, ET=124, H/E<=0.068359375
1405 35 # ieta=6, ET=125, H/E<=0.068359375
1406 35 # ieta=6, ET=126, H/E<=0.068359375
1407 35 # ieta=6, ET=127, H/E<=0.068359375
1408 35 # ieta=6, ET=128, H/E<=0.068359375
1409 35 # ieta=6, ET=129, H/E<=0.068359375
1410 35 # ieta=6, ET=130, H/E<=0.068359375
1411 35 # ieta=6, ET=131, H/E<=0.068359375
1412 35 # ieta=6, ET=132, H/E<=0.068359375
1413 35 # ieta=6, ET=133, H/E<=0.068359375
1414 35 # ieta=6, ET=134, H/E<=0.068359375
1415 35 # ieta=6, ET=135, H/E<=0.068359375
1416 35 # ieta=6, ET=136, H/E<=0.068359375
1417 35 # ieta=6, ET=137, H/E<=0.068359375
1418 35 # ieta=6, ET=138, H/E<=0.068359375
1419 40 # ieta=6, ET=139, H/E<=0.078125
1420 40 # ieta=6, ET=140, H/E<=0.078125
1421 40 # ieta=6, ET=141, H/E<=0.078125
1422 40 # ieta=6, ET=142, H/E<=0.078125
1423 40 # ieta=6, ET=143, H/E<=0.078125
1424 40 # ieta=6, ET=144, H/E<=0.078125
1425 40 # ieta=6, ET=145, H/E<=0.078125
1426 40 # ieta=6, ET=146, H/E<=0.078125
1427 40 # ieta=6, ET=147, H/E<=0.078125
1428 40 # ieta=6, ET=148, H/E<=0.078125
1429 40 # ieta=6, ET=149, H/E<=0.078125
1430 40 # ieta=6, ET=150, H/E<=0.078125
1431 40 # ieta=6, ET=151, H/E<=0.078125
1432 40 # ieta=6, ET=152, H/E<=0.078125
1433 40 # ieta=6, ET=153, H/E<=0.078125
1434 40 # ieta=6, ET=154, H/E<=0.078125
1435 40 # ieta=6, ET=155, H/E<=0.078125
1436 40 # ieta=6, ET=156, H/E<=0.078125
1437 40 # ieta=6, ET=157, H/E<=0.078125
1438 40 # ieta=6, ET=158, H/E<=0.078125
1439 57 # ieta=6, ET=159, H/E<=0.111328125
1440 57 # ieta=6, ET=160, H/E<=0.111328125
1441 57 # ieta=6, ET=161, H/E<=0.111328125
1442 57 # ieta=6, ET=162, H/E<=0.111328125
1443 57 # ieta=6, ET=163, H/E<=0.111328125
1444 57 # ieta=6, ET=164, H/E<=0.111328125
1445 57 # ieta=6, ET=165, H/E<=0.111328125
1446 57 # ieta=6, ET=166, H/E<=0.111328125
1447 57 # ieta=6, ET=167, H/E<=0.111328125
1448 57 # ieta=6, ET=168, H/E<=0.111328125
1449 57 # ieta=6, ET=169, H/E<=0.111328125
1450 511 # ieta=6, ET=170, H/E<=0.998046875
1451 511 # ieta=6, ET=171, H/E<=0.998046875
1452 511 # ieta=6, ET=172, H/E<=0.998046875
1453 511 # ieta=6, ET=173, H/E<=0.998046875
1454 511 # ieta=6, ET=174, H/E<=0.998046875
1455 511 # ieta=6, ET=175, H/E<=0.998046875
1456 511 # ieta=6, ET=176, H/E<=0.998046875
1457 511 # ieta=6, ET=177, H/E<=0.998046875
1458 511 # ieta=6, ET=178, H/E<=0.998046875
1459 511 # ieta=6, ET=179, H/E<=0.998046875
1460 511 # ieta=6, ET=180, H/E<=0.998046875
1461 511 # ieta=6, ET=181, H/E<=0.998046875
1462 511 # ieta=6, ET=182, H/E<=0.998046875
1463 511 # ieta=6, ET=183, H/E<=0.998046875
1464 511 # ieta=6, ET=184, H/E<=0.998046875
1465 511 # ieta=6, ET=185, H/E<=0.998046875
1466 511 # ieta=6, ET=186, H/E<=0.998046875
1467 511 # ieta=6, ET=187, H/E<=0.998046875
1468 511 # ieta=6, ET=188, H/E<=0.998046875
1469 511 # ieta=6, ET=189, H/E<=0.998046875
1470 511 # ieta=6, ET=190, H/E<=0.998046875
1471 511 # ieta=6, ET=191, H/E<=0.998046875
1472 511 # ieta=6, ET=192, H/E<=0.998046875
1473 511 # ieta=6, ET=193, H/E<=0.998046875
1474 511 # ieta=6, ET=194, H/E<=0.998046875
1475 511 # ieta=6, ET=195, H/E<=0.998046875
1476 511 # ieta=6, ET=196, H/E<=0.998046875
1477 511 # ieta=6, ET=197, H/E<=0.998046875
1478 511 # ieta=6, ET=198, H/E<=0.998046875
1479 511 # ieta=6, ET=199, H/E<=0.998046875
1480 511 # ieta=6, ET=200, H/E<=0.998046875
1481 511 # ieta=6, ET=201, H/E<=0.998046875
1482 511 # ieta=6, ET=202, H/E<=0.998046875
1483 511 # ieta=6, ET=203, H/E<=0.998046875
1484 511 # ieta=6, ET=204, H/E<=0.998046875
1485 511 # ieta=6, ET=205, H/E<=0.998046875
1486 511 # ieta=6, ET=206, H/E<=0.998046875
1487 511 # ieta=6, ET=207, H/E<=0.998046875
1488 511 # ieta=6, ET=208, H/E<=0.998046875
1489 511 # ieta=6, ET=209, H/E<=0.998046875
1490 511 # ieta=6, ET=210, H/E<=0.998046875
1491 511 # ieta=6, ET=211, H/E<=0.998046875
1492 511 # ieta=6, ET=212, H/E<=0.998046875
1493 511 # ieta=6, ET=213, H/E<=0.998046875
1494 511 # ieta=6, ET=214, H/E<=0.998046875
1495 511 # ieta=6, ET=215, H/E<=0.998046875
1496 511 # ieta=6, ET=216, H/E<=0.998046875
1497 511 # ieta=6, ET=217, H/E<=0.998046875
1498 511 # ieta=6, ET=218, H/E<=0.998046875
1499 511 # ieta=6, ET=219, H/E<=0.998046875
1500 511 # ieta=6, ET=220, H/E<=0.998046875
1501 511 # ieta=6, ET=221, H/E<=0.998046875
1502 511 # ieta=6, ET=222, H/E<=0.998046875
1503 511 # ieta=6, ET=223, H/E<=0.998046875
1504 511 # ieta=6, ET=224, H/E<=0.998046875
1505 511 # ieta=6, ET=225, H/E<=0.998046875
1506 511 # ieta=6, ET=226, H/E<=0.998046875
1507 511 # ieta=6, ET=227, H/E<=0.998046875
1508 511 # ieta=6, ET=228, H/E<=0.998046875
1509 511 # ieta=6, ET=229, H/E<=0.998046875
1510 511 # ieta=6, ET=230, H/E<=0.998046875
1511 511 # ieta=6, ET=231, H/E<=0.998046875
1512 511 # ieta=6, ET=232, H/E<=0.998046875
1513 511 # ieta=6, ET=233, H/E<=0.998046875
1514 511 # ieta=6, ET=234, H/E<=0.998046875
1515 511 # ieta=6, ET=235, H/E<=0.998046875
1516 511 # ieta=6, ET=236, H/E<=0.998046875
1517 511 # ieta=6, ET=237, H/E<=0.998046875
1518 511 # ieta=6, ET=238, H/E<=0.998046875
1519 511 # ieta=6, ET=239, H/E<=0.998046875
1520 511 # ieta=6, ET=240, H/E<=0.998046875
1521 511 # ieta=6, ET=241, H/E<=0.998046875
1522 511 # ieta=6, ET=242, H/E<=0.998046875
1523 511 # ieta=6, ET=243, H/E<=0.998046875
1524 511 # ieta=6, ET=244, H/E<=0.998046875
1525 511 # ieta=6, ET=245, H/E<=0.998046875
1526 511 # ieta=6, ET=246, H/E<=0.998046875
1527 511 # ieta=6, ET=247, H/E<=0.998046875
1528 511 # ieta=6, ET=248, H/E<=0.998046875
1529 511 # ieta=6, ET=249, H/E<=0.998046875
1530 511 # ieta=6, ET=250, H/E<=0.998046875
1531 511 # ieta=6, ET=251, H/E<=0.998046875
1532 511 # ieta=6, ET=252, H/E<=0.998046875
1533 511 # ieta=6, ET=253, H/E<=0.998046875
1534 511 # ieta=6, ET=254, H/E<=0.998046875
1535 511 # ieta=6, ET=255, H/E<=0.998046875
1536 46 # ieta=7, ET=0, H/E<=0.08984375
1537 46 # ieta=7, ET=1, H/E<=0.08984375
1538 46 # ieta=7, ET=2, H/E<=0.08984375
1539 46 # ieta=7, ET=3, H/E<=0.08984375
1540 46 # ieta=7, ET=4, H/E<=0.08984375
1541 46 # ieta=7, ET=5, H/E<=0.08984375
1542 46 # ieta=7, ET=6, H/E<=0.08984375
1543 46 # ieta=7, ET=7, H/E<=0.08984375
1544 46 # ieta=7, ET=8, H/E<=0.08984375
1545 46 # ieta=7, ET=9, H/E<=0.08984375
1546 46 # ieta=7, ET=10, H/E<=0.08984375
1547 46 # ieta=7, ET=11, H/E<=0.08984375
1548 46 # ieta=7, ET=12, H/E<=0.08984375
1549 46 # ieta=7, ET=13, H/E<=0.08984375
1550 46 # ieta=7, ET=14, H/E<=0.08984375
1551 46 # ieta=7, ET=15, H/E<=0.08984375
1552 46 # ieta=7, ET=16, H/E<=0.08984375
1553 46 # ieta=7, ET=17, H/E<=0.08984375
1554 46 # ieta=7, ET=18, H/E<=0.08984375
1555 46 # ieta=7, ET=19, H/E<=0.08984375
1556 46 # ieta=7, ET=20, H/E<=0.08984375
1557 46 # ieta=7, ET=21, H/E<=0.08984375
1558 46 # ieta=7, ET=22, H/E<=0.08984375
1559 46 # ieta=7, ET=23, H/E<=0.08984375
1560 46 # ieta=7, ET=24, H/E<=0.08984375
1561 46 # ieta=7, ET=25, H/E<=0.08984375
1562 46 # ieta=7, ET=26, H/E<=0.08984375
1563 46 # ieta=7, ET=27, H/E<=0.08984375
1564 46 # ieta=7, ET=28, H/E<=0.08984375
1565 46 # ieta=7, ET=29, H/E<=0.08984375
1566 46 # ieta=7, ET=30, H/E<=0.08984375
1567 46 # ieta=7, ET=31, H/E<=0.08984375
1568 46 # ieta=7, ET=32, H/E<=0.08984375
1569 46 # ieta=7, ET=33, H/E<=0.08984375
1570 46 # ieta=7, ET=34, H/E<=0.08984375
1571 46 # ieta=7, ET=35, H/E<=0.08984375
1572 46 # ieta=7, ET=36, H/E<=0.08984375
1573 46 # ieta=7, ET=37, H/E<=0.08984375
1574 46 # ieta=7, ET=38, H/E<=0.08984375
1575 37 # ieta=7, ET=39, H/E<=0.072265625
1576 37 # ieta=7, ET=40, H/E<=0.072265625
1577 37 # ieta=7, ET=41, H/E<=0.072265625
1578 37 # ieta=7, ET=42, H/E<=0.072265625
1579 37 # ieta=7, ET=43, H/E<=0.072265625
1580 37 # ieta=7, ET=44, H/E<=0.072265625
1581 37 # ieta=7, ET=45, H/E<=0.072265625
1582 37 # ieta=7, ET=46, H/E<=0.072265625
1583 37 # ieta=7, ET=47, H/E<=0.072265625
1584 37 # ieta=7, ET=48, H/E<=0.072265625
1585 37 # ieta=7, ET=49, H/E<=0.072265625
1586 37 # ieta=7, ET=50, H/E<=0.072265625
1587 37 # ieta=7, ET=51, H/E<=0.072265625
1588 37 # ieta=7, ET=52, H/E<=0.072265625
1589 37 # ieta=7, ET=53, H/E<=0.072265625
1590 37 # ieta=7, ET=54, H/E<=0.072265625
1591 37 # ieta=7, ET=55, H/E<=0.072265625
1592 37 # ieta=7, ET=56, H/E<=0.072265625
1593 37 # ieta=7, ET=57, H/E<=0.072265625
1594 37 # ieta=7, ET=58, H/E<=0.072265625
1595 32 # ieta=7, ET=59, H/E<=0.0625
1596 32 # ieta=7, ET=60, H/E<=0.0625
1597 32 # ieta=7, ET=61, H/E<=0.0625
1598 32 # ieta=7, ET=62, H/E<=0.0625
1599 32 # ieta=7, ET=63, H/E<=0.0625
1600 32 # ieta=7, ET=64, H/E<=0.0625
1601 32 # ieta=7, ET=65, H/E<=0.0625
1602 32 # ieta=7, ET=66, H/E<=0.0625
1603 32 # ieta=7, ET=67, H/E<=0.0625
1604 32 # ieta=7, ET=68, H/E<=0.0625
1605 23 # ieta=7, ET=69, H/E<=0.044921875
1606 23 # ieta=7, ET=70, H/E<=0.044921875
1607 23 # ieta=7, ET=71, H/E<=0.044921875
1608 23 # ieta=7, ET=72, H/E<=0.044921875
1609 23 # ieta=7, ET=73, H/E<=0.044921875
1610 23 # ieta=7, ET=74, H/E<=0.044921875
1611 23 # ieta=7, ET=75, H/E<=0.044921875
1612 23 # ieta=7, ET=76, H/E<=0.044921875
1613 23 # ieta=7, ET=77, H/E<=0.044921875
1614 23 # ieta=7, ET=78, H/E<=0.044921875
1615 21 # ieta=7, ET=79, H/E<=0.041015625
1616 21 # ieta=7, ET=80, H/E<=0.041015625
1617 21 # ieta=7, ET=81, H/E<=0.041015625
1618 21 # ieta=7, ET=82, H/E<=0.041015625
1619 21 # ieta=7, ET=83, H/E<=0.041015625
1620 21 # ieta=7, ET=84, H/E<=0.041015625
1621 21 # ieta=7, ET=85, H/E<=0.041015625
1622 21 # ieta=7, ET=86, H/E<=0.041015625
1623 21 # ieta=7, ET=87, H/E<=0.041015625
1624 21 # ieta=7, ET=88, H/E<=0.041015625
1625 27 # ieta=7, ET=89, H/E<=0.052734375
1626 27 # ieta=7, ET=90, H/E<=0.052734375
1627 27 # ieta=7, ET=91, H/E<=0.052734375
1628 27 # ieta=7, ET=92, H/E<=0.052734375
1629 27 # ieta=7, ET=93, H/E<=0.052734375
1630 27 # ieta=7, ET=94, H/E<=0.052734375
1631 27 # ieta=7, ET=95, H/E<=0.052734375
1632 27 # ieta=7, ET=96, H/E<=0.052734375
1633 27 # ieta=7, ET=97, H/E<=0.052734375
1634 27 # ieta=7, ET=98, H/E<=0.052734375
1635 23 # ieta=7, ET=99, H/E<=0.044921875
1636 23 # ieta=7, ET=100, H/E<=0.044921875
1637 23 # ieta=7, ET=101, H/E<=0.044921875
1638 23 # ieta=7, ET=102, H/E<=0.044921875
1639 23 # ieta=7, ET=103, H/E<=0.044921875
1640 23 # ieta=7, ET=104, H/E<=0.044921875
1641 23 # ieta=7, ET=105, H/E<=0.044921875
1642 23 # ieta=7, ET=106, H/E<=0.044921875
1643 23 # ieta=7, ET=107, H/E<=0.044921875
1644 23 # ieta=7, ET=108, H/E<=0.044921875
1645 37 # ieta=7, ET=109, H/E<=0.072265625
1646 37 # ieta=7, ET=110, H/E<=0.072265625
1647 37 # ieta=7, ET=111, H/E<=0.072265625
1648 37 # ieta=7, ET=112, H/E<=0.072265625
1649 37 # ieta=7, ET=113, H/E<=0.072265625
1650 37 # ieta=7, ET=114, H/E<=0.072265625
1651 37 # ieta=7, ET=115, H/E<=0.072265625
1652 37 # ieta=7, ET=116, H/E<=0.072265625
1653 37 # ieta=7, ET=117, H/E<=0.072265625
1654 37 # ieta=7, ET=118, H/E<=0.072265625
1655 27 # ieta=7, ET=119, H/E<=0.052734375
1656 27 # ieta=7, ET=120, H/E<=0.052734375
1657 27 # ieta=7, ET=121, H/E<=0.052734375
1658 27 # ieta=7, ET=122, H/E<=0.052734375
1659 27 # ieta=7, ET=123, H/E<=0.052734375
1660 27 # ieta=7, ET=124, H/E<=0.052734375
1661 27 # ieta=7, ET=125, H/E<=0.052734375
1662 27 # ieta=7, ET=126, H/E<=0.052734375
1663 27 # ieta=7, ET=127, H/E<=0.052734375
1664 27 # ieta=7, ET=128, H/E<=0.052734375
1665 27 # ieta=7, ET=129, H/E<=0.052734375
1666 27 # ieta=7, ET=130, H/E<=0.052734375
1667 27 # ieta=7, ET=131, H/E<=0.052734375
1668 27 # ieta=7, ET=132, H/E<=0.052734375
1669 27 # ieta=7, ET=133, H/E<=0.052734375
1670 27 # ieta=7, ET=134, H/E<=0.052734375
1671 27 # ieta=7, ET=135, H/E<=0.052734375
1672 27 # ieta=7, ET=136, H/E<=0.052734375
1673 27 # ieta=7, ET=137, H/E<=0.052734375
1674 27 # ieta=7, ET=138, H/E<=0.052734375
1675 32 # ieta=7, ET=139, H/E<=0.0625
1676 32 # ieta=7, ET=140, H/E<=0.0625
1677 32 # ieta=7, ET=141, H/E<=0.0625
1678 32 # ieta=7, ET=142, H/E<=0.0625
1679 32 # ieta=7, ET=143, H/E<=0.0625
1680 32 # ieta=7, ET=144, H/E<=0.0625
1681 32 # ieta=7, ET=145, H/E<=0.0625
1682 32 # ieta=7, ET=146, H/E<=0.0625
1683 32 # ieta=7, ET=147, H/E<=0.0625
1684 32 # ieta=7, ET=148, H/E<=0.0625
